address,first_apparition_date,total_received,nb_transactions,nb_cb_transactions,nb_tx_in,nb_tx_out,total_sent,last_activity_date,activity_range,oldness,activity_range_days,oldness_days,balance,component,in_degree,out_degree,address_id,encoding
1111111111111111111114oLvT2,2010-08-10 04:25:18,56165699919,197559,0,0,297583,0,2024-04-24 12:42:21,5006 days 08:17:03,5021 days 07:09:14.846248,5006,5021,56165699919,out,310583,0,99070,base58
11111111111111111111BZbvjr,2011-04-27 01:57:55,1035064,8,0,0,8,0,2020-07-09 01:53:43,3360 days 23:55:48,4761 days 09:36:37.846248,3360,4761,1035064,out,9,0,424563,base58
1ByteCoinAddressesMatch1kpCWNXmHKW,2011-05-18 00:49:03,1000000,1,0,0,1,0,2011-05-18 00:49:03,0 days 00:00:00,4740 days 10:45:29.846248,0,4740,1000000,out,1,0,524952,base58
1ByteCoinAddressesMatch1kpCxNXmHKW,2011-05-18 00:49:03,1000000,1,0,0,1,0,2011-05-18 00:49:03,0 days 00:00:00,4740 days 10:45:29.846248,0,4740,1000000,out,1,0,524961,base58
1BitcoinEaterAddressDontSendf59kuE,2011-06-21 01:21:42,1335470696,3731,0,0,3843,0,2024-04-24 12:42:21,4691 days 11:20:39,4706 days 10:12:50.846248,4691,4706,1335470696,out,6672,0,915247,base58
1MartinHaferkorncii112o11HdkMrtttD,2011-11-11 17:19:18,13100,1,0,0,1,0,2011-11-11 17:19:18,0 days 00:00:00,4562 days 18:15:14.846248,0,4562,13100,out,1,0,2487828,base58
1EricLombrozoXXXXXXXXXXXXXXXWACBVB,2011-11-24 19:10:42,2500000,3,0,0,3,0,2011-11-24 20:51:59,0 days 01:41:17,4549 days 16:23:50.846248,0,4549,2500000,out,3,0,2564828,base58
1969SandraSandicXXXXXXXXXXXXXvdEiU,2011-11-24 20:51:59,1500000,2,0,0,2,0,2011-11-24 20:51:59,0 days 00:00:00,4549 days 14:42:33.846248,0,4549,1500000,out,2,0,2565298,base58
1BitTaLkTVChristmasSpeciaLXXRix9Ea,2011-11-25 11:46:40,500012,8,0,0,17,0,2011-11-27 23:47:16,2 days 12:00:36,4548 days 23:47:52.846248,2,4548,500012,out,17,0,2567522,base58
12YouMustBeSaidTheCatxxxxxxxz2tFa2,2011-11-25 20:38:44,10000,1,0,0,1,0,2011-11-25 20:38:44,0 days 00:00:00,4548 days 14:55:48.846248,0,4548,10000,out,1,0,2570352,base58
12ohYouCantHe1pThatxxxxxxxxxzCjyMs,2011-11-25 20:38:44,10000,1,0,0,1,0,2011-11-25 20:38:44,0 days 00:00:00,4548 days 14:55:48.846248,0,4548,10000,out,1,0,2570348,base58
12orYouWou1dntHaveComeHerexxvtHbqq,2011-11-25 20:38:44,10000,1,0,0,1,0,2011-11-25 20:38:44,0 days 00:00:00,4548 days 14:55:48.846248,0,4548,10000,out,1,0,2570353,base58
191mMadYoureMadxxxxxxxxxxxxxvwA4Up,2011-11-25 20:38:44,10000,1,0,0,1,0,2011-11-25 20:38:44,0 days 00:00:00,4548 days 14:55:48.846248,0,4548,10000,out,1,0,2570350,base58
19SaidTheCatWereA11MadHerexxyTvEir,2011-11-25 20:38:44,10000,1,0,0,1,0,2011-11-25 20:38:44,0 days 00:00:00,4548 days 14:55:48.846248,0,4548,10000,out,1,0,2570349,base58
1But1DontWantToGoAmongMadxxxzDmyW6,2011-11-25 20:38:44,10000,1,0,0,1,0,2011-11-25 20:38:44,0 days 00:00:00,4548 days 14:55:48.846248,0,4548,10000,out,1,0,2570346,base58
1Peop1eA1iceRemarkedxxxxxxxxxuLyKu,2011-11-25 20:38:44,20000,2,0,0,2,0,2015-05-21 11:56:13,1272 days 15:17:29,4548 days 14:55:48.846248,1272,4548,20000,out,2,0,2570347,base58
1BitcoinKicksAss1111111111114BbAUx,2011-11-26 23:25:48,20004,5,0,0,5,0,2014-11-18 05:05:48,1087 days 05:40:00,4547 days 12:08:44.846248,1087,4547,20004,out,5,0,2575728,base58
12ThatWhich1sAbove1sAs2222221thc4h,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2577987,base58
12ThatWhich1sAboveAnd2222221vxkcEq,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2577986,base58
12ThatWhich1sBe1ow1sAs222221y3G7mv,2011-11-27 12:17:22,20001,2,0,0,2,0,2014-11-18 05:05:48,1086 days 16:48:26,4546 days 23:17:10.846248,1086,4546,20001,out,2,0,2577985,base58
12ThatWhich1sBe1ow22222222226vzcxR,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2577988,base58
12The1ByMeansofAdaptation222477Ehu,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2577995,base58
12TheFatherofTheWho1eWor1d2249xs5g,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2578000,base58
12TheWindCarried1t1n1tsBe11y31r5NB,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2577998,base58
12ThusA11ThingsWereBornFrom2vX3xAk,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2577994,base58
12TisTrueWithoutALie22222221wT3qjn,2011-11-27 12:17:22,20001,2,0,0,2,0,2014-11-18 05:05:48,1086 days 16:48:26,4546 days 23:17:10.846248,1086,4546,20001,out,2,0,2577983,base58
12ToPerformTheMirac1es222221zShqDE,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2577989,base58
12TrueStrengthBecause44444442gxLoc,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2578018,base58
12YouWi11SeparateTheEarth2223tzWxE,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2578004,base58
12oXoXoXofTheWho1eWor1dXoXoXhjQBMS,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2578014,base58
12ofA11StrengthThis1s55555552nCoKd,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2578017,base58
12ofThe1Thing222222222222221wv1hge,2011-11-27 12:17:22,20001,2,0,0,2,0,2014-11-18 05:05:48,1086 days 16:48:26,4546 days 23:17:10.846248,1086,4546,20001,out,2,0,2577990,base58
12ofThe1xxxxxxxxxxxxxxxxxxxy1aqzJW,2011-11-27 12:17:22,20001,2,0,0,2,0,2014-11-18 05:05:48,1086 days 16:48:26,4546 days 23:17:10.846248,1086,4546,20001,out,2,0,2577993,base58
1333333Therefore1AmNamed33333b5tYL,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2578026,base58
1333ThriceGreatHermes33333337uPVys,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2578027,base58
13Sweet1yWithGreatSki11x3332wyNKnf,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2578007,base58
191sHereXoXoXoXoXoXoXoXoXoXo72uqJv,2011-11-27 12:17:22,1,1,0,0,1,0,2011-11-27 12:17:22,0 days 00:00:00,4546 days 23:17:10.846248,0,4546,1,out,1,0,2578001,base58
